username,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,danceability
joshhall811,0.549,4,-7.565,0,0.124,0.22,9.03E-06,0.112,0.695,100.007,audio_features,5uSwYU4V1hFDZYEHF87RmK,spotify:track:5uSwYU4V1hFDZYEHF87RmK,https://api.spotify.com/v1/tracks/5uSwYU4V1hFDZYEHF87RmK,https://api.spotify.com/v1/audio-analysis/5uSwYU4V1hFDZYEHF87RmK,179827,4,0.803
joshhall811,0.756,9,-7.509,0,0.0492,0.0469,0.00333,0.235,0.827,123.604,audio_features,13xKh7WqwxzEFYhYCJJwHg,spotify:track:13xKh7WqwxzEFYhYCJJwHg,https://api.spotify.com/v1/tracks/13xKh7WqwxzEFYhYCJJwHg,https://api.spotify.com/v1/audio-analysis/13xKh7WqwxzEFYhYCJJwHg,259560,4,0.73
joshhall811,0.537,11,-7.333,0,0.0352,0.683,0.192,0.0867,0.326,109.951,audio_features,5CqmR59zYogDdC7F9ZXavN,spotify:track:5CqmR59zYogDdC7F9ZXavN,https://api.spotify.com/v1/tracks/5CqmR59zYogDdC7F9ZXavN,https://api.spotify.com/v1/audio-analysis/5CqmR59zYogDdC7F9ZXavN,131301,4,0.712
joshhall811,0.487,7,-6.818,0,0.342,0.852,0,0.212,0.46,84.056,audio_features,74KttZ7bf1dDyrEviDbJCy,spotify:track:74KttZ7bf1dDyrEviDbJCy,https://api.spotify.com/v1/tracks/74KttZ7bf1dDyrEviDbJCy,https://api.spotify.com/v1/audio-analysis/74KttZ7bf1dDyrEviDbJCy,182361,4,0.544
joshhall811,0.636,1,-7.221,0,0.0406,0.0795,0,0.157,0.438,121.993,audio_features,2rH5V5b9LaYu3NhGKqigd8,spotify:track:2rH5V5b9LaYu3NhGKqigd8,https://api.spotify.com/v1/tracks/2rH5V5b9LaYu3NhGKqigd8,https://api.spotify.com/v1/audio-analysis/2rH5V5b9LaYu3NhGKqigd8,188651,4,0.85
joshhall811,0.715,2,-5.137,1,0.0451,0.249,0.0369,0.164,0.226,130.087,audio_features,1Uo7reO6I2yQ1q36ZPuNf7,spotify:track:1Uo7reO6I2yQ1q36ZPuNf7,https://api.spotify.com/v1/tracks/1Uo7reO6I2yQ1q36ZPuNf7,https://api.spotify.com/v1/audio-analysis/1Uo7reO6I2yQ1q36ZPuNf7,234173,4,0.748
joshhall811,0.756,0,-6.409,1,0.0556,0.00644,7.93E-05,0.279,0.786,98.003,audio_features,1UrxBDCv9kDRIBUc2oskNR,spotify:track:1UrxBDCv9kDRIBUc2oskNR,https://api.spotify.com/v1/tracks/1UrxBDCv9kDRIBUc2oskNR,https://api.spotify.com/v1/audio-analysis/1UrxBDCv9kDRIBUc2oskNR,219244,4,0.755
joshhall811,0.255,4,-11.165,0,0.0387,0.975,0.000208,0.102,0.37,125.004,audio_features,1BViPjTT585XAhkUUrkts0,spotify:track:1BViPjTT585XAhkUUrkts0,https://api.spotify.com/v1/tracks/1BViPjTT585XAhkUUrkts0,https://api.spotify.com/v1/audio-analysis/1BViPjTT585XAhkUUrkts0,334570,5,0.377
joshhall811,0.289,7,-10.777,0,0.0412,0.846,9.32E-05,0.0921,0.0391,104.516,audio_features,42GpfZ2MHDgGiAj6kWkCgy,spotify:track:42GpfZ2MHDgGiAj6kWkCgy,https://api.spotify.com/v1/tracks/42GpfZ2MHDgGiAj6kWkCgy,https://api.spotify.com/v1/audio-analysis/42GpfZ2MHDgGiAj6kWkCgy,207968,5,0.455
joshhall811,0.274,11,-14.297,1,0.0302,0.852,0.000362,0.291,0.33,89.996,audio_features,77zou8jnM5ySyaOZesPn2S,spotify:track:77zou8jnM5ySyaOZesPn2S,https://api.spotify.com/v1/tracks/77zou8jnM5ySyaOZesPn2S,https://api.spotify.com/v1/audio-analysis/77zou8jnM5ySyaOZesPn2S,239075,4,0.559
joshhall811,0.497,10,-9.724,1,0.0343,0.252,5.53E-05,0.111,0.384,98.082,audio_features,1hqA8JizCxRFHrxqfehEVU,spotify:track:1hqA8JizCxRFHrxqfehEVU,https://api.spotify.com/v1/tracks/1hqA8JizCxRFHrxqfehEVU,https://api.spotify.com/v1/audio-analysis/1hqA8JizCxRFHrxqfehEVU,212760,4,0.545
joshhall811,0.629,5,-8.704,0,0.0745,0.043,0.000154,0.378,0.0667,100.803,audio_features,2PzWUwFXApjQBZzKMl4Hd6,spotify:track:2PzWUwFXApjQBZzKMl4Hd6,https://api.spotify.com/v1/tracks/2PzWUwFXApjQBZzKMl4Hd6,https://api.spotify.com/v1/audio-analysis/2PzWUwFXApjQBZzKMl4Hd6,192010,4,0.795
joshhall811,0.666,4,-6.078,0,0.0754,0.159,9.56E-06,0.129,0.579,137.9,audio_features,5nPOM0nFRAJ3XI8xCxNAzO,spotify:track:5nPOM0nFRAJ3XI8xCxNAzO,https://api.spotify.com/v1/tracks/5nPOM0nFRAJ3XI8xCxNAzO,https://api.spotify.com/v1/audio-analysis/5nPOM0nFRAJ3XI8xCxNAzO,243747,4,0.439
joshhall811,0.0842,4,-17.476,1,0.0474,0.97,7.09E-06,0.0776,0.088,202.415,audio_features,7fxHpjrR6YwyFcp19P6tv6,spotify:track:7fxHpjrR6YwyFcp19P6tv6,https://api.spotify.com/v1/tracks/7fxHpjrR6YwyFcp19P6tv6,https://api.spotify.com/v1/audio-analysis/7fxHpjrR6YwyFcp19P6tv6,259735,4,0.281
joshhall811,0.518,11,-9.514,0,0.0813,0.556,0.00282,0.111,0.555,101.083,audio_features,5uDohC8URXwbGiHAMuKGoa,spotify:track:5uDohC8URXwbGiHAMuKGoa,https://api.spotify.com/v1/tracks/5uDohC8URXwbGiHAMuKGoa,https://api.spotify.com/v1/audio-analysis/5uDohC8URXwbGiHAMuKGoa,166000,4,0.734
